PLZ,Ort,Gemeinde,Kanton
1774,Montagny-les-Monts,"Montagny (FR)",FR
1775,Grandsivaz,"Montagny (FR)",FR
1775,Mannens,"Montagny (FR)",FR
1776,Montagny-la-Ville,"Montagny (FR)",FR
1782,Autafond,Belfaux,FR
1782,Belfaux,Belfaux,FR
1782,Cormagens,"La Sonnaz",FR
1782,Formangueires,"La Sonnaz",FR
1782,"La Corbaz","La Sonnaz",FR
1782,Lossy,"La Sonnaz",FR
1783,"Barberêche",Courtepin,FR
1783,Pensier,Courtepin,FR
1784,Courtepin,Courtepin,FR
1784,Wallenried,Courtepin,FR
1785,"Cressier FR","Cressier (FR)",FR
1786,Sugiez,Mont-Vully,FR
1787,"Mur (Vully) FR",Mont-Vully,FR
1787,"Mur (Vully) VD",Vully-les-Lacs,VD
1787,"Môtier (Vully)",Mont-Vully,FR
1788,"Praz (Vully)",Mont-Vully,FR
1789,Lugnorre,Mont-Vully,FR
1791,Courtaman,Courtepin,FR
1792,Cordast,Gurmels,FR
1792,Guschelmuth,Gurmels,FR
1793,Jeuss,Murten,FR
1794,Salvenach,Murten,FR
1795,Courlevon,Murten,FR
1796,Courgevaux,Courgevaux,FR
1797,"Münchenwiler","Münchenwiler",BE
1800,Vevey,Vevey,VD
1801,"Le Mont-Pèlerin",Chardonne,VD
1802,Corseaux,Corseaux,VD
1803,Chardonne,Chardonne,VD
1804,Corsier-sur-Vevey,Corsier-sur-Vevey,VD
1805,Jongny,Jongny,VD
1806,"St-Légier-La Chiésaz","Saint-Légier-La Chiésaz",VD
1807,Blonay,Blonay,VD
1808,"Les Monts-de-Corsier",Corsier-sur-Vevey,VD
1809,Fenil-sur-Corsier,Corsier-sur-Vevey,VD
1814,"La Tour-de-Peilz","La Tour-de-Peilz",VD
1815,Clarens,Montreux,VD
1816,Chailly-Montreux,Montreux,VD
1817,Brent,Montreux,VD
1820,Montreux,Montreux,VD
1820,Territet,Montreux,VD
1820,Veytaux,Veytaux,VD
1822,Chernex,Montreux,VD
1823,Glion,Montreux,VD
1824,Caux,Montreux,VD
1832,Chamby,Montreux,VD
1832,Villard-sur-Chamby,Montreux,VD
1833,"Les Avants",Montreux,VD
1844,"Villeneuve VD","Villeneuve (VD)",VD
1845,Noville,Noville,VD
1846,Chessel,Chessel,VD
1847,Rennaz,Rennaz,VD
1852,"Roche VD","Roche (VD)",VD
1853,Yvorne,Yvorne,VD
1854,Leysin,Leysin,VD
1856,Corbeyrier,Corbeyrier,VD
1860,Aigle,Aigle,VD
1862,"La Comballaz",Ormont-Dessous,VD
1862,"Les Mosses",Ormont-Dessous,VD
1863,"Le Sépey",Ormont-Dessous,VD
1864,"Vers-l'Eglise",Ormont-Dessus,VD
1865,"Les Diablerets",Ormont-Dessus,VD
1866,"La Forclaz VD",Ormont-Dessous,VD
1867,"Ollon VD",Ollon,VD
1867,Panex,Ollon,VD
1867,St-Triphon,Ollon,VD
1868,Collombey,Collombey-Muraz,VS
1869,Massongex,Massongex,VS
1870,Monthey,Monthey,VS
1871,"Choëx",Monthey,VS
1871,"Les Giettes",Monthey,VS
1872,Troistorrents,Troistorrents,VS
1873,Champoussin,"Val-d'Illiez",VS
1873,"Les Crosets","Val-d'Illiez",VS
1873,"Val-d'Illiez","Val-d'Illiez",VS
1874,"Champéry","Champéry",VS
1875,Morgins,Troistorrents,VS
1880,Bex,Bex,VD
1880,Fenalet-sur-Bex,Bex,VD
1880,"Frenières-sur-Bex",Bex,VD
1880,"Les Plans-sur-Bex",Bex,VD
1880,"Les Posses-sur-Bex",Bex,VD
1882,Gryon,Gryon,VD
1884,Arveyes,Ollon,VD
1884,"Huémoz",Ollon,VD
1884,Villars-sur-Ollon,Ollon,VD
1885,"Chesières",Ollon,VD
1890,"Mex VS",Saint-Maurice,VS
1890,St-Maurice,Saint-Maurice,VS
1891,"Vérossaz","Vérossaz",VS
1892,Lavey-Village,Lavey-Morcles,VD
1892,Lavey-les-Bains,Lavey-Morcles,VD
1892,Morcles,Lavey-Morcles,VD
1893,"Muraz (Collombey)",Collombey-Muraz,VS
1895,Vionnaz,Vionnaz,VS
1896,Miex,Vouvry,VS
1896,Vouvry,Vouvry,VS
1897,Bouveret,Port-Valais,VS
1897,"Les Evouettes",Port-Valais,VS
1898,St-Gingolph,Saint-Gingolph,VS
1899,Torgon,Vionnaz,VS
1902,Evionnaz,Evionnaz,VS
1903,Collonges,Collonges,VS
1904,Vernayaz,Vernayaz,VS
1905,"Dorénaz","Dorénaz",VS
1906,Charrat,Martigny,VS
1907,Saxon,Saxon,VS
1908,Riddes,Riddes,VS
1911,Ovronnaz,Leytron,VS
1912,"Dugny (Leytron)",Leytron,VS
1912,Leytron,Leytron,VS
1912,"Montagnon (Leytron)",Leytron,VS
1912,"Produit (Leytron)",Leytron,VS
1913,Saillon,Saillon,VS
1914,Auddes-sur-Riddes,Riddes,VS
1914,"Isérables","Isérables",VS
1918,"La Tzoumaz",Riddes,VS
1920,Martigny,Martigny,VS
1921,Martigny-Croix,Martigny-Combe,VS
1922,"Les Granges (Salvan)",Salvan,VS
1922,Salvan,Salvan,VS
1923,"Le Trétien",Salvan,VS
1923,"Les Marécottes",Salvan,VS
1925,Finhaut,Finhaut,VS
1925,"Le Châtelard VS",Finhaut,VS
1926,Fully,Fully,VS
1927,Chemin,"Val de Bagnes",VS
1928,Ravoire,Martigny-Combe,VS
1929,Trient,Trient,VS
1932,Bovernier,Bovernier,VS
1932,"Les Valettes (Bovernier)",Bovernier,VS
1933,"Chamoille (Sembrancher)",Sembrancher,VS
1933,"La Garde (Sembrancher)",Sembrancher,VS
1933,Sembrancher,Sembrancher,VS
1933,"Vens (Sembrancher)","Val de Bagnes",VS
1934,Bruson,"Val de Bagnes",VS
1934,"Le Châble VS","Val de Bagnes",VS
1936,Verbier,"Val de Bagnes",VS
1937,"Orsières","Orsières",VS
1938,Champex-Lac,"Orsières",VS
1941,"Cries (Vollèges)","Val de Bagnes",VS
1941,"Vollèges","Val de Bagnes",VS
1942,Levron,"Val de Bagnes",VS
1943,Praz-de-Fort,"Orsières",VS
1944,"La Fouly VS","Orsières",VS
1945,"Chandonne (Liddes)",Liddes,VS
1945,"Chez Petit (Liddes)",Liddes,VS
1945,"Dranse (Liddes)",Liddes,VS
1945,"Fontaine Dessous (Liddes)",Liddes,VS
1945,"Fontaine Dessus (Liddes)",Liddes,VS
1945,"Fornex (Liddes)",Liddes,VS
1945,"Les Moulins VS (Liddes)",Liddes,VS
1945,Liddes,Liddes,VS
1945,"Palasuit (Liddes)",Liddes,VS
1945,"Petit Vichères (Liddes)",Liddes,VS
1945,"Rive Haute (Liddes)",Liddes,VS
1945,"Vichères (Liddes)",Liddes,VS
1946,Bourg-St-Pierre,Bourg-Saint-Pierre,VS
1947,Champsec,"Val de Bagnes",VS
1947,"Versegères","Val de Bagnes",VS
1948,Fionnay,"Val de Bagnes",VS
1948,Lourtier,"Val de Bagnes",VS
1948,Sarreyer,"Val de Bagnes",VS
1950,Sion,Sion,VS
1955,Chamoson,Chamoson,VS
1955,"Grugnay (Chamoson)",Chamoson,VS
1955,"Les Vérines (Chamoson)",Chamoson,VS
1955,Mayens-de-Chamoson,Chamoson,VS
1955,"Némiaz (Chamoson)",Chamoson,VS
1955,St-Pierre-de-Clages,Chamoson,VS
1957,Ardon,Ardon,VS
1958,"St-Léonard","Saint-Léonard",VS
1958,Uvrier,Sion,VS
1961,"Vernamiège",Mont-Noble,VS
1962,"Pont-de-la-Morge (Sion)",Sion,VS
1963,"Vétroz","Vétroz",VS
1964,Conthey,Conthey,VS
1965,"Savièse","Savièse",VS
1966,"Argnou (Ayent)",Ayent,VS
1966,"Blignou (Ayent)",Ayent,VS
1966,"Botyre (Ayent)",Ayent,VS
1966,"Fortunau (Ayent)",Ayent,VS
1966,"La Place (Ayent)",Ayent,VS
1966,"Luc (Ayent)",Ayent,VS
1966,"Saxonne (Ayent)",Ayent,VS
1966,"Signèse (Ayent)",Ayent,VS
1966,"St-Romain (Ayent)",Ayent,VS
1966,"Villa (Ayent)",Ayent,VS
1967,Bramois,Sion,VS
1968,Mase,Mont-Noble,VS
1969,"Eison (St-Martin)","Saint-Martin (VS)",VS
1969,"Liez (St-Martin)","Saint-Martin (VS)",VS
1969,"St-Martin VS","Saint-Martin (VS)",VS
1969,"Suen (St-Martin)","Saint-Martin (VS)",VS
1969,"Trogne (St-Martin)","Saint-Martin (VS)",VS
1971,"Champlan (Grimisuat)",Grimisuat,VS
1971,Grimisuat,Grimisuat,VS
1972,"Anzère",Ayent,VS
1973,Nax,Mont-Noble,VS
1974,Arbaz,Arbaz,VS
1975,"St-Séverin",Conthey,VS
1976,Aven,Conthey,VS
1976,Daillon,Conthey,VS
1976,Erde,Conthey,VS
1977,Icogne,Icogne,VS
1978,Lens,Lens,VS
1981,Vex,Vex,VS
1982,Euseigne,"Hérémence",VS
1983,"Evolène","Evolène",VS
1983,Lanna,"Evolène",VS
1984,"La Tour VS","Evolène",VS
1984,"Les Haudères","Evolène",VS
1985,"La Forclaz VS","Evolène",VS
1985,"La Sage","Evolène",VS
1985,"Villa (Evolène)","Evolène",VS
1986,Arolla,"Evolène",VS
1987,"Hérémence","Hérémence",VS
1988,"Les Collons",Vex,VS
1988,Thyon,Vex,VS
1991,"Arvillard (Salins)",Sion,VS
1991,"Misériez (Salins)",Sion,VS
1991,"Pravidondaz (Salins)",Sion,VS
1991,Salins,Sion,VS
1991,"Turin (Salins)",Sion,VS
1992,"Crête-à-l'Oeil (Les Agettes)",Sion,VS
1992,"La Vernaz (Les Agettes)",Sion,VS
1992,"Les Agettes",Sion,VS
1992,"Les Mayens-de-Sion",Vex,VS
1993,"Clèbes (Nendaz)",Nendaz,VS
1993,Veysonnaz,Veysonnaz,VS
1994,"Aproz (Nendaz)",Nendaz,VS
1996,"Baar (Nendaz)",Nendaz,VS
1996,Basse-Nendaz,Nendaz,VS
1996,"Beuson (Nendaz)",Nendaz,VS
1996,"Bieudron (Nendaz)",Nendaz,VS
1996,"Brignon (Nendaz)",Nendaz,VS
1996,"Condémines (Nendaz)",Nendaz,VS
1996,"Fey (Nendaz)",Nendaz,VS
1996,Saclentse,Nendaz,VS
1997,Haute-Nendaz,Nendaz,VS
1997,"Siviez (Nendaz)",Nendaz,VS
1997,"Sornard (Nendaz)",Nendaz,VS
2000,"Neuchâtel","Neuchâtel",NE
2012,Auvernier,Milvignes,NE
2013,"Colombier NE",Milvignes,NE
2014,"Bôle",Milvignes,NE
2015,Areuse,Boudry,NE
2016,Cortaillod,Cortaillod,NE
2017,Boudry,Boudry,NE
2019,Chambrelien,Rochefort,NE
2019,Rochefort,Rochefort,NE
2022,Bevaix,"La Grande Béroche",NE
2023,Gorgier,"La Grande Béroche",NE
2024,St-Aubin-Sauges,"La Grande Béroche",NE
2025,Chez-le-Bart,"La Grande Béroche",NE
2027,Fresens,"La Grande Béroche",NE
2027,Montalchez,"La Grande Béroche",NE
2028,Vaumarcus,"La Grande Béroche",NE
2034,Peseux,"Neuchâtel",NE
2035,"Corcelles NE","Neuchâtel",NE
2036,"Cormondrèche","Neuchâtel",NE
2037,Montezillon,Rochefort,NE
2037,Montmollin,Val-de-Ruz,NE
2042,Valangin,"Neuchâtel",NE
2043,Boudevilliers,Val-de-Ruz,NE
2046,"Fontaines NE",Val-de-Ruz,NE
2052,Fontainemelon,Val-de-Ruz,NE
2052,"La Vue-des-Alpes",Val-de-Ruz,NE
2053,Cernier,Val-de-Ruz,NE
2054,"Chézard-St-Martin",Val-de-Ruz,NE
2054,"Les Vieux-Prés",Val-de-Ruz,NE
2056,Dombresson,Val-de-Ruz,NE
2057,Villiers,Val-de-Ruz,NE
2058,"Le Pâquier NE",Val-de-Ruz,NE
2063,Engollon,Val-de-Ruz,NE
2063,Fenin,Val-de-Ruz,NE
2063,Saules,Val-de-Ruz,NE
2063,"Vilars NE",Val-de-Ruz,NE
2065,Savagnier,Val-de-Ruz,NE
2067,Chaumont,"Neuchâtel",NE
2068,"Hauterive NE","Hauterive (NE)",NE
2072,St-Blaise,Saint-Blaise,NE
2073,Enges,Enges,NE
2074,Marin-Epagnier,"La Tène",NE
2075,Thielle,"La Tène",NE
2075,Wavre,"La Tène",NE
2087,"Cornaux NE",Cornaux,NE
2088,"Cressier NE","Cressier (NE)",NE
2103,Noiraigue,Val-de-Travers,NE
2105,Travers,Val-de-Travers,NE
2108,Couvet,Val-de-Travers,NE
2112,"Môtiers NE",Val-de-Travers,NE
2113,Boveresse,Val-de-Travers,NE
2114,Fleurier,Val-de-Travers,NE
2115,Buttes,Val-de-Travers,NE
2116,Mont-de-Buttes,Val-de-Travers,NE
2117,"La Côte-aux-Fées","La Côte-aux-Fées",NE
2123,"St-Sulpice NE",Val-de-Travers,NE
2124,"Les Sagnettes",Val-de-Travers,NE
2126,"Les Verrières","Les Verrières",NE
2127,"Les Bayards",Val-de-Travers,NE
2149,Brot-Dessous,Rochefort,NE
2149,Champ-du-Moulin,Rochefort,NE
2149,Fretereules,Rochefort,NE
2206,"Les Geneveys-sur-Coffrane",Val-de-Ruz,NE
2207,Coffrane,Val-de-Ruz,NE
2208,"Les Hauts-Geneveys",Val-de-Ruz,NE
2300,"La Chaux-de-Fonds","La Chaux-de-Fonds",NE
2300,"La Cibourg","La Chaux-de-Fonds",NE
2314,"La Sagne NE","La Sagne",NE
2316,"Les Ponts-de-Martel","Les Ponts-de-Martel",NE
2316,Petit-Martel,"Les Ponts-de-Martel",NE
2318,Brot-Plamboz,Brot-Plamboz,NE
2322,"Le Crêt-du-Locle","La Chaux-de-Fonds",NE
2325,"Les Planchettes","Les Planchettes",NE
2333,"La Ferrière","La Ferrière",BE
2336,"Les Bois","Les Bois",JU
2338,"Les Emibois",Muriaux,JU
2338,Muriaux,Muriaux,JU
2340,"Le Noirmont","Le Noirmont",JU
2345,"La Chaux-des-Breuleux","La Chaux-des-Breuleux",JU
2345,"Le Cerneux-Veusil",Muriaux,JU
2345,"Les Breuleux","Les Breuleux",JU
2350,"Saignelégier","Saignelégier",JU
2353,"Les Pommerats","Saignelégier",JU
2354,Goumois,"Saignelégier",JU
2360,"Le Bémont JU","Le Bémont (JU)",JU
2362,Montfaucon,Montfaucon,JU
2362,Montfavergier,Montfaucon,JU
2363,"Les Enfers","Les Enfers",JU
2364,St-Brais,Saint-Brais,JU
2400,"Le Locle","Le Locle",NE
2400,"Le Prévoux","Le Locle",NE
2405,"La Chaux-du-Milieu","La Chaux-du-Milieu",NE
2406,"La Brévine","La Brévine",NE
2406,"La Châtagne","La Brévine",NE
2406,"Le Brouillet","La Brévine",NE
2406,"Les Taillères","La Brévine",NE
2414,"Le Cerneux-Péquignot","Le Cerneux-Péquignot",NE
2416,"Les Brenets","Le Locle",NE
2505,Biel/Bienne,Biel/Bienne,BE
2512,"Tüscherz-Alfermée","Twann-Tüscherz",BE
2513,Twann,"Twann-Tüscherz",BE
2514,Ligerz,Ligerz,BE
2515,"Prêles","Plateau de Diesse",BE
2516,Lamboing,"Plateau de Diesse",BE
2517,Diesse,"Plateau de Diesse",BE
2518,Nods,Nods,BE
2520,"La Neuveville","La Neuveville",BE
2523,"Lignières","Lignières",NE
2525,"Le Landeron","Le Landeron",NE
2532,Magglingen/Macolin,Evilard,BE
2533,Evilard,Evilard,BE
2534,"Les Prés-d'Orvin",Orvin,BE
2534,Orvin,Orvin,BE
2535,Frinvillier,Sauge,BE
2536,Plagne,Sauge,BE
2537,Vauffelin,Sauge,BE
2538,"Romont BE","Romont (BE)",BE
2540,Grenchen,Grenchen,SO
2542,Pieterlen,Pieterlen,BE
2543,"Lengnau BE","Lengnau (BE)",BE
2544,Bettlach,Bettlach,SO
2545,Selzach,Selzach,SO
2552,Orpund,Orpund,BE
2553,Safnern,Safnern,BE
2554,Meinisberg,Meinisberg,BE
2555,"Brügg BE","Brügg",BE
2556,Scheuren,Scheuren,BE
2556,Schwadernau,Schwadernau,BE
2557,"Studen BE","Studen (BE)",BE
2558,Aegerten,Aegerten,BE
2560,Nidau,Nidau,BE
2562,Port,Port,BE
2563,Ipsach,Ipsach,BE
2564,Bellmund,Bellmund,BE
2565,Jens,Jens,BE
2572,"Mörigen","Mörigen",BE
2572,Sutz,Sutz-Lattrigen,BE
2575,Gerolfingen,"Täuffelen",BE
2575,Hagneck,Hagneck,BE
2575,"Täuffelen","Täuffelen",BE
2576,"Lüscherz","Lüscherz",BE
2577,Finsterhennen,Finsterhennen,BE
2577,"Siselen BE",Siselen,BE
2603,"Péry","Péry-La Heutte",BE
2604,"La Heutte","Péry-La Heutte",BE
2605,Sonceboz-Sombeval,Sonceboz-Sombeval,BE
2606,"Corgémont","Corgémont",BE
2607,"Cortébert","Cortébert",BE
2608,Courtelary,Courtelary,BE
2608,Montagne-de-Courtelary,"Cortébert",BE
2610,"Les Pontins",Saint-Imier,BE
2610,Mont-Crosin,Courtelary,BE
2610,Mont-Soleil,Saint-Imier,BE
2610,St-Imier,Saint-Imier,BE
2612,Cormoret,Cormoret,BE
2613,Villeret,Villeret,BE
2615,Montagne-de-Sonvilier,Sonvilier,BE
2615,Sonvilier,Sonvilier,BE
2616,"Renan BE","Renan (BE)",BE
2710,Tavannes,Tavannes,BE
2712,"Le Fuet",Saicourt,BE
2713,Bellelay,Saicourt,BE
2714,"Le Prédame","Les Genevez (JU)",JU
2714,"Les Genevez JU","Les Genevez (JU)",JU
2715,"Châtelat",Petit-Val,BE
2715,Monible,Petit-Val,BE
2716,Sornetan,Petit-Val,BE
2717,Fornet-Dessous,Petit-Val,BE
2717,"Rebévelier","Rebévelier",BE
2718,Fornet-Dessus,"Lajoux (JU)",JU
2718,"Lajoux JU","Lajoux (JU)",JU
2720,"La Tanne","Corgémont",BE
2720,Tramelan,Tramelan,BE
2722,"Les Reussilles",Tramelan,BE
2723,Mont-Tramelan,Mont-Tramelan,BE
2732,Loveresse,Loveresse,BE
2732,Reconvilier,Reconvilier,BE
2732,Saicourt,Saicourt,BE
2732,"Saules BE","Saules (BE)",BE
2733,Pontenet,Valbirse,BE
2735,"Bévilard",Valbirse,BE
2735,Champoz,Champoz,BE
2735,Malleray,Valbirse,BE
2736,Sorvilier,Sorvilier,BE
2738,Court,Court,BE
2740,Moutier,Moutier,BE
2742,Perrefitte,Perrefitte,BE
2743,Eschert,Eschert,BE
2744,Belprahon,Belprahon,BE
2745,Grandval,Grandval,BE
2746,"Crémines","Crémines",BE
2747,"Corcelles BE","Corcelles (BE)",BE
2747,Seehof,Seehof,BE
2748,"Les Ecorcheresses",Petit-Val,BE
2748,Souboz,Petit-Val,BE
2762,"Roches BE","Roches (BE)",BE
2800,"Delémont","Delémont",JU
2802,Develier,Develier,JU
2803,Bourrignon,Bourrignon,JU
2805,"Soyhières","Soyhières",JU
2806,Mettembert,Mettembert,JU
2807,Lucelle,Pleigne,JU
2807,Pleigne,Pleigne,JU
2812,Movelier,Movelier,JU
2813,Ederswiler,Ederswiler,JU
2814,Roggenburg,Roggenburg,BL
2822,Courroux,Courroux,JU
2823,Courcelon,Courroux,JU
2824,Vicques,"Val Terbi",JU
2825,Courchapoix,Courchapoix,JU
2826,Corban,"Val Terbi",JU
2827,Mervelier,Mervelier,JU
2827,Schelten,Schelten,BE
2828,Montsevelier,"Val Terbi",JU
2829,Vermes,"Val Terbi",JU
2830,Courrendlin,Courrendlin,JU
2830,Vellerat,Courrendlin,JU
2832,Rebeuvelier,Courrendlin,JU
2842,Rossemaison,Rossemaison,JU
2843,"Châtillon JU","Châtillon (JU)",JU
2852,"Courtételle","Courtételle",JU
2853,Courfaivre,Haute-Sorne,JU
2854,Bassecourt,Haute-Sorne,JU
2855,Glovelier,Haute-Sorne,JU
2856,"Boécourt","Boécourt",JU
2857,Montavon,"Boécourt",JU
2863,Undervelier,Haute-Sorne,JU
2864,Soulce,Haute-Sorne,JU
2873,Saulcy,Saulcy,JU
2882,St-Ursanne,"Clos du Doubs",JU
2883,Montmelon,"Clos du Doubs",JU
2884,Montenol,"Clos du Doubs",JU
2885,Epauvillers,"Clos du Doubs",JU
2886,Epiquerez,"Clos du Doubs",JU
2887,Soubey,Soubey,JU
2888,Seleute,"Clos du Doubs",JU
2889,Ocourt,"Clos du Doubs",JU
2900,Porrentruy,Porrentruy,JU
2902,Fontenais,Fontenais,JU
2903,Villars-sur-Fontenais,Fontenais,JU
2904,Bressaucourt,Fontenais,JU
2905,Courtedoux,Courtedoux,JU
2906,Chevenez,Haute-Ajoie,JU
2907,Rocourt,Haute-Ajoie,JU
2908,Grandfontaine,Grandfontaine,JU
2912,"Roche-d'Or",Haute-Ajoie,JU
2912,"Réclère",Haute-Ajoie,JU
2914,Damvant,Haute-Ajoie,JU
2915,Bure,Bure,JU
2916,Fahy,Fahy,JU
2922,Courchavon,Courchavon,JU
2923,"Courtemaîche",Basse-Allaine,JU
2924,Montignez,Basse-Allaine,JU
2925,Buix,Basse-Allaine,JU
2926,Boncourt,Boncourt,JU
2932,Coeuve,Coeuve,JU
2933,Damphreux,Damphreux,JU
2933,Lugnez,Lugnez,JU
2935,"Beurnevésin","Beurnevésin",JU
2942,Alle,Alle,JU
2943,Vendlincourt,Vendlincourt,JU
2944,Bonfol,Bonfol,JU
2946,"Miécourt","La Baroche",JU
2947,Charmoille,"La Baroche",JU
2950,Courgenay,Courgenay,JU
2950,Courtemautruy,Courgenay,JU
2952,Cornol,Cornol,JU
2953,"Fregiécourt","La Baroche",JU
2953,Pleujouse,"La Baroche",JU
2954,Asuel,"La Baroche",JU
3006,Bern,Bern,BE
3032,Hinterkappelen,"Wohlen bei Bern",BE
3033,"Wohlen b. Bern","Wohlen bei Bern",BE
3034,Murzelen,"Wohlen bei Bern",BE
3035,Frieswil,"Seedorf (BE)",BE
3036,Detligen,Radelfingen,BE
3037,Herrenschwanden,Kirchlindach,BE
3038,Kirchlindach,Kirchlindach,BE
3042,Ortschwaben,Meikirch,BE
3043,Uettligen,"Wohlen bei Bern",BE
3044,Innerberg,"Wohlen bei Bern",BE
3045,Meikirch,Meikirch,BE
3046,Wahlendorf,Meikirch,BE
3047,"Bremgarten b. Bern","Bremgarten bei Bern",BE
3048,Worblaufen,Ittigen,BE
3049,"Säriswil","Wohlen bei Bern",BE
3052,Zollikofen,Zollikofen,BE
3053,"Deisswil b. Münchenbuchsee","Deisswil bei Münchenbuchsee",BE
3053,Diemerswil,Diemerswil,BE
3053,"Lätti","Rapperswil (BE)",BE
3053,"Münchenbuchsee","Münchenbuchsee",BE
3053,Wiggiswil,Wiggiswil,BE
3054,"Schüpfen","Schüpfen",BE
3063,Ittigen,Ittigen,BE
3065,Bolligen,Bolligen,BE
3066,Stettlen,Stettlen,BE
3067,Boll,Vechigen,BE
3068,Utzigen,Vechigen,BE
3072,Ostermundigen,Ostermundigen,BE
3073,"Gümligen","Muri bei Bern",BE
3074,"Muri b. Bern","Muri bei Bern",BE
3075,"Rüfenacht BE",Worb,BE
3075,"Vielbringen b. Worb",Worb,BE
3076,Worb,Worb,BE
3077,Enggistein,Worb,BE
3078,Richigen,Worb,BE
3082,Schlosswil,"Grosshöchstetten",BE
3083,Trimstein,"Münsingen",BE
3084,Wabern,"Köniz",BE
3086,Englisberg,"Wald (BE)",BE
3086,Zimmerwald,"Wald (BE)",BE
3087,Niedermuhlern,Niedermuhlern,BE
3088,"Oberbütschel","Rüeggisberg",BE
3088,"Rüeggisberg","Rüeggisberg",BE
3089,Hinterfultigen,"Rüeggisberg",BE
3095,"Spiegel b. Bern","Köniz",BE
3096,Oberbalm,Oberbalm,BE
3097,Liebefeld,"Köniz",BE
3098,"Köniz","Köniz",BE
3098,"Schliern b. Köniz","Köniz",BE
3099,"Rüti b. Riggisberg",Riggisberg,BE
3110,"Münsingen","Münsingen",BE
3111,"Tägertschi","Münsingen",BE
3112,"Allmendingen b. Bern",Allmendingen,BE
3113,Rubigen,Rubigen,BE
3114,Wichtrach,Wichtrach,BE
3115,Gerzensee,Gerzensee,BE
3116,"Kirchdorf BE","Kirchdorf (BE)",BE
3116,"Mühledorf BE","Kirchdorf (BE)",BE
3116,"Noflen BE","Kirchdorf (BE)",BE
3122,Kehrsatz,Kehrsatz,BE
3123,Belp,Belp,BE
3124,Belpberg,Belp,BE
3125,Toffen,Toffen,BE
3126,Gelterfingen,"Kirchdorf (BE)",BE
3126,Kaufdorf,Kaufdorf,BE
3127,Lohnstorf,Thurnen,BE
3127,"Mühlethurnen",Thurnen,BE
3128,Kirchenthurnen,Thurnen,BE
3128,"Rümligen",Riggisberg,BE
3132,Riggisberg,Riggisberg,BE
3144,Gasel,"Köniz",BE
3145,Niederscherli,"Köniz",BE
3147,"Mittelhäusern","Köniz",BE
3148,"Lanzenhäusern",Schwarzenburg,BE
3150,Schwarzenburg,Schwarzenburg,BE
3152,Mamishaus,Schwarzenburg,BE
3153,"Rüschegg Gambach","Rüschegg",BE
3154,"Rüschegg Heubach","Rüschegg",BE
3155,Helgisried-Rohrbach,"Rüeggisberg",BE
3156,Riffenmatt,Guggisberg,BE
3157,Milken,Schwarzenburg,BE
3158,Guggisberg,Guggisberg,BE
3159,"Riedstätt",Guggisberg,BE
3172,"Niederwangen b. Bern","Köniz",BE
3173,"Oberwangen b. Bern","Köniz",BE
3174,"Thörishaus","Köniz",BE
3175,Flamatt,"Wünnewil-Flamatt",FR
3176,Neuenegg,Neuenegg,BE
3177,"Laupen BE",Laupen,BE
3178,"Bösingen","Bösingen",FR
3179,Kriechenwil,Kriechenwil,BE
3182,Ueberstorf,Ueberstorf,FR
3183,Albligen,Schwarzenburg,BE
3184,"Wünnewil","Wünnewil-Flamatt",FR
3185,"Schmitten FR","Schmitten (FR)",FR
3186,"Düdingen","Düdingen",FR
3202,Frauenkappelen,Frauenkappelen,BE
3203,"Mühleberg","Mühleberg",BE
3204,"Rosshäusern","Mühleberg",BE
3205,"Gümmenen","Mühleberg",BE
3206,Biberen,Ferenbalm,BE
3206,Ferenbalm,Ferenbalm,BE
3206,Gammen,Ferenbalm,BE
3206,Rizenbach,Ferenbalm,BE
3206,Wallenbuch,Gurmels,FR
3207,Golaten,Kallnach,BE
3207,Wileroltigen,Wileroltigen,BE
3208,"Gurbrü","Gurbrü",BE
3210,Kerzers,Kerzers,FR
3212,Gurmels,Gurmels,FR
3212,Kleingurmels,Gurmels,FR
3213,"Kleinbösingen","Kleinbösingen",FR
3213,Liebistorf,Gurmels,FR
3214,Ulmiz,Ulmiz,FR
3215,"Büchslen",Murten,FR
3215,Gempenach,Gempenach,FR
3215,Lurtigen,Murten,FR
3216,Agriswil,"Ried bei Kerzers",FR
3216,"Ried b. Kerzers","Ried bei Kerzers",FR
3225,"Müntschemier","Müntschemier",BE
3226,Treiten,Treiten,BE
3232,Ins,Ins,BE
3233,Tschugg,Tschugg,BE
3234,Vinelz,Vinelz,BE
3235,Erlach,Erlach,BE
3236,Gampelen,Gampelen,BE
3237,"Brüttelen","Brüttelen",BE
3238,Gals,Gals,BE
3250,Lyss,Lyss,BE
3251,Ruppoldsried,"Rapperswil (BE)",BE
3251,"Wengi b. Büren",Wengi,BE
3252,Worben,Worben,BE
3253,Schnottwil,Schnottwil,SO
3254,"Balm b. Messen",Messen,SO
3254,Messen,Messen,SO
3255,"Rapperswil BE","Rapperswil (BE)",BE
3256,"Bangerten b. Dieterswil","Rapperswil (BE)",BE
3256,Dieterswil,"Rapperswil (BE)",BE
3256,Seewil,"Rapperswil (BE)",BE
3257,"Ammerzwil BE",Grossaffoltern,BE
3257,Grossaffoltern,Grossaffoltern,BE
3262,Suberg,Grossaffoltern,BE
3263,"Büetigen","Büetigen",BE
3264,"Diessbach b. Büren","Diessbach bei Büren",BE
3266,"Wiler b. Seedorf","Seedorf (BE)",BE
